Interne Referenz,Barcode,Name,Produktkategorie
12698,9004464243066,EHT 100,All / Boiler
12699,9004464248429,EHT 120,All / Boiler
12700,9004464248436,EHT 150,All / Boiler
15254,9004464248405,EHT 50,All / Boiler
10758,Kein ean Code,FS9180,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
13891,8021098280480,IB 3001 BK,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
14511,8021098280503,IS 1012 BL,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
14647,128792600,IS 5145 WH Easy Lock,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
14618,128781630,IS 7143 WH CareStyle 7,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
15019,8021098001009,IS 7262 GY,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
14622,127406002,SI 5037 Vi TexStyle 5,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
14509,8021098000781,Si 1040 GR,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
14510,8021098000477,Si 7160 BL,"All / Bügeleisen, Dampfstationen & Bügelklapptische"
14285,2110343503,UVC5033TA,All / Desinfektionsgeräte
14812,8004399327924,EN 80.B Inissia Schwarz,All / Kaffee-Maschinen
14737,8004399332928,EN 85.B Essenza Mini schwarz,All / Kaffee-Maschinen
15171,8004399331181,EC 685.BK Dedica,All / Kaffee-Maschinen
15185,8004399331198,EC 685.M Dedica,All / Kaffee-Maschinen
14514,8004399331204,EC 685.R Dedica,All / Kaffee-Maschinen
14513,8004399019959,EC 9355.BM La Specialista Prestigio,All / Kaffee-Maschinen
14123,8004399325043,ECAM 21.110 SB Magnifica S,All / Kaffee-Maschinen
13881,8004399331136,ECAM 350.35.SB Dinamica,All / Kaffee-Maschinen
15230,4002516139621,CVA7845 brws,All / Kaffee-Maschinen / Einbau-Kaffeevollautomaten
15139,4242005396900,TKA2M113,All / Kaffee-Maschinen / Filter-Kaffeemaschinen
15140,4242005396948,TKA6M273,All / Kaffee-Maschinen / Filter-Kaffeemaschinen
14064,4002516326816,CM 5310 Silence obsidianschwarz,All / Kaffee-Maschinen / Kaffeevollautomaten
14662,4002516599258,CM 5315 Silence graphitgrau,All / Kaffee-Maschinen / Kaffeevollautomaten
15021,8004399019942,EC 9355.M La Specialista Prestigio,All / Kaffee-Maschinen / Kaffeevollautomaten
14794,8004399328297,ECAM 20.110.B Magnifica S,All / Kaffee-Maschinen / Kaffeevollautomaten
15060,Set,ECAM 20.110.B Magnifica S +  DLSC500 EcoDecalk,All / Kaffee-Maschinen / Kaffeevollautomaten
14648,8004399326163,ECAM 21.117 B Magnifica S,All / Kaffee-Maschinen / Kaffeevollautomaten
15010,8004399325067,ECAM 22.110 SB Magnifica S silber,All / Kaffee-Maschinen / Kaffeevollautomaten
14707,8004399025356,ECAM 220.21.B Magnifica Start,All / Kaffee-Maschinen / Kaffeevollautomaten
15011,8004399025370,ECAM 220.22 GB Magnifica Start,All / Kaffee-Maschinen / Kaffeevollautomaten
15020,8004399025400,ECAM 220.30.SB Magnifica Start,All / Kaffee-Maschinen / Kaffeevollautomaten
15193,8004399021419,ECAM 290.81.TB Magnifica Evo,All / Kaffee-Maschinen / Kaffeevollautomaten
13870,8004399333536,ECAM 370.85.SB Dinamica plus,All / Kaffee-Maschinen / Kaffeevollautomaten
14516,8004399334878,ECAM 610.74.MB PrimaDonna Soul,All / Kaffee-Maschinen / Kaffeevollautomaten
15014,8004399331648,ECAM 650.85.MS PrimaDonna Elite Experience,All / Kaffee-Maschinen / Kaffeevollautomaten
15257,8004399026582,EXAM440.35.B Rivelia schwarz,All / Kaffee-Maschinen / Kaffeevollautomaten
15259,8004399026599,EXAM440.35.W Rivelia weiss,All / Kaffee-Maschinen / Kaffeevollautomaten
15258,8004399026711,EXAM440.55.BG Rivelia beige,All / Kaffee-Maschinen / Kaffeevollautomaten
15273,4242003926864,TF301E19,All / Kaffee-Maschinen / Kaffeevollautomaten
14906,4242003837122,TP501D09,All / Kaffee-Maschinen / Kaffeevollautomaten
15291,4242003927649,TP511D09,All / Kaffee-Maschinen / Kaffeevollautomaten
14633,8004399331389,EN 167.B Citiz Schwarz,All / Kaffee-Maschinen / Kapselmaschinen
15012,2050005009438,EN 267.BAE Citiz & Milk,All / Kaffee-Maschinen / Kapselmaschinen
13871,8004399334007,EN 650.B Gran Lattissima schwarz,All / Kaffee-Maschinen / Kapselmaschinen
15256,8004399028760,EN127.BL,All / Kaffee-Maschinen / Kapselmaschinen
15255,8004399028753,EN127.S,All / Kaffee-Maschinen / Kapselmaschinen
