satzart;konto;buchdatum;belegdatum;belegnr;betrag;waehrung;text;buchtyp;buchsymbol;buchcode;periode;gegenbuchkz;verbuchkz;extart;extid;verbuchstatus;gkonto;kost;kobetrag
0;9900;30.04.2025;30.04.2025;4;0;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;;;
0;35500;30.04.2025;30.04.2025;4;-12063,94;EUR;LV 2025/4;2;LG;2;4;O;A;400;{104206598};0;9900;;
0;36000;30.04.2025;30.04.2025;4;-28120,35;EUR;LV 2025/4;2;LG;2;4;O;A;400;{104206598};0;9900;;
0;36200;30.04.2025;30.04.2025;4;-57895,4;EUR;LV 2025/4;2;LG;2;4;O;A;400;{104206598};0;9900;9;-960
0;60000;30.04.2025;30.04.2025;4;6631;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;2156
1;;;;;;;;;;;;;;;;0;;2;2285
1;;;;;;;;;;;;;;;;0;;4;2190
0;62000;30.04.2025;30.04.2025;4;62371,53;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;12768,55
1;;;;;;;;;;;;;;;;0;;2;13517,1
1;;;;;;;;;;;;;;;;0;;3;7694,27
1;;;;;;;;;;;;;;;;0;;4;5720,52
1;;;;;;;;;;;;;;;;0;;5;4794,05
1;;;;;;;;;;;;;;;;0;;9;17877,04
0;62100;30.04.2025;30.04.2025;4;1421,48;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;627,27
1;;;;;;;;;;;;;;;;0;;2;314,05
1;;;;;;;;;;;;;;;;0;;3;91,73
1;;;;;;;;;;;;;;;;0;;4;302,48
1;;;;;;;;;;;;;;;;0;;5;85,95
0;63000;30.04.2025;30.04.2025;4;6000;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;9;6000
0;65000;30.04.2025;30.04.2025;4;14660,57;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;3262,77
1;;;;;;;;;;;;;;;;0;;2;3296,59
1;;;;;;;;;;;;;;;;0;;3;1603,7
1;;;;;;;;;;;;;;;;0;;4;1723,09
1;;;;;;;;;;;;;;;;0;;5;1023,82
1;;;;;;;;;;;;;;;;0;;9;3750,6
0;66000;30.04.2025;30.04.2025;4;1075,3;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;235,74
1;;;;;;;;;;;;;;;;0;;2;246,59
1;;;;;;;;;;;;;;;;0;;3;119,13
1;;;;;;;;;;;;;;;;0;;4;125,66
1;;;;;;;;;;;;;;;;0;;5;74,66
1;;;;;;;;;;;;;;;;0;;9;273,52
0;66700;30.04.2025;30.04.2025;4;224,94;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;52,85
1;;;;;;;;;;;;;;;;0;;2;49,52
1;;;;;;;;;;;;;;;;0;;3;17,26
1;;;;;;;;;;;;;;;;0;;4;27,93
1;;;;;;;;;;;;;;;;0;;5;16,59
1;;;;;;;;;;;;;;;;0;;9;60,79
0;66800;30.04.2025;30.04.2025;4;2447,91;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;575,41
1;;;;;;;;;;;;;;;;0;;2;538,76
1;;;;;;;;;;;;;;;;0;;3;187,85
1;;;;;;;;;;;;;;;;0;;4;303,88
1;;;;;;;;;;;;;;;;0;;5;180,56
1;;;;;;;;;;;;;;;;0;;9;661,45
0;66900;30.04.2025;30.04.2025;4;2286,96;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;;
1;;;;;;;;;;;;;;;;0;;1;466,56
1;;;;;;;;;;;;;;;;0;;2;448,92
1;;;;;;;;;;;;;;;;0;;3;233,58
1;;;;;;;;;;;;;;;;0;;4;246,39
1;;;;;;;;;;;;;;;;0;;5;146,4
1;;;;;;;;;;;;;;;;0;;9;745,11
0;68040;30.04.2025;30.04.2025;4;960;EUR;LV 2025/4;2;LG;1;4;O;A;400;{104206598};0;9900;9;960
