Journal;Nummer;Referenz;Buchungszeilen/Konto;Buchungszeilen/Kostenrechnung;Buchungszeilen/Soll;Buchungszeilen/Haben
Miscellaneous Operations;Nummer TEST;Referenz TEST;35500;;0;12056.01
;;;36000;;0;27692.48
;;;36200;;0;57538.12
;;;60000;"{""1"": 100.0}";2200;0
;;;62000;"{""1"": 100.0}";12369.73;0
;;;62100;"{""1"": 100.0}";544.63;0
;;;65000;"{""1"": 100.0}";3170.99;0
;;;66000;"{""1"": 100.0}";231.24;0
;;;66700;"{""1"": 100.0}";51.39;0
;;;66800;"{""1"": 100.0}";559.22;0
;;;66900;"{""1"": 100.0}";453.43;0
;;;60000;"{""2"": 100.0}";2285;0
;;;62000;"{""2"": 100.0}";7662.11;0
;;;62100;"{""2"": 100.0}";338.01;0
;;;65000;"{""2"": 100.0}";2073.25;0
;;;66000;"{""2"": 100.0}";157.36;0
;;;66700;"{""2"": 100.0}";33.61;0
;;;66800;"{""2"": 100.0}";365.64;0
;;;66900;"{""2"": 100.0}";308.55;0
;;;36200;"{""25"": 100.0}";0;960
;;;62000;"{""25"": 100.0}";21494.49;0
;;;62001;"{""25"": 100.0}";1741.61;0
;;;63000;"{""25"": 100.0}";6000;0
;;;65000;"{""25"": 100.0}";4588.56;0
;;;66000;"{""25"": 100.0}";335.26;0
;;;66700;"{""25"": 100.0}";79.01;0
;;;66800;"{""25"": 100.0}";859.74;0
;;;66900;"{""25"": 100.0}";905.88;0
;;;68040;"{""25"": 100.0}";960;0
;;;73300;"{""25"": 100.0}";117.6;0
;;;62000;"{""3"": 100.0}";8125.4;0
;;;62001;"{""3"": 100.0}";1105.76;0
;;;62100;"{""3"": 100.0}";203.3;0
;;;65000;"{""3"": 100.0}";1925.15;0
;;;66000;"{""3"": 100.0}";124.21;0
;;;66700;"{""3"": 100.0}";22.05;0
;;;66800;"{""3"": 100.0}";240.16;0
;;;66900;"{""3"": 100.0}";283.03;0
;;;60000;"{""4"": 100.0}";2120;0
;;;62000;"{""4"": 100.0}";5547;0
;;;62100;"{""4"": 100.0}";347.11;0
;;;65000;"{""4"": 100.0}";1681.36;0
;;;66000;"{""4"": 100.0}";122.62;0
;;;66700;"{""4"": 100.0}";27.25;0
;;;66800;"{""4"": 100.0}";296.52;0
;;;66900;"{""4"": 100.0}";240.43;0
;;;62000;"{""5"": 100.0}";4529.19;0
;;;62100;"{""5"": 100.0}";62.81;0
;;;65000;"{""5"": 100.0}";963.41;0
;;;66000;"{""5"": 100.0}";70.26;0
;;;66700;"{""5"": 100.0}";15.61;0
;;;66800;"{""5"": 100.0}";169.91;0
;;;66900;"{""5"": 100.0}";137.76;0
