Journal;Nummer;Referenz;Buchungszeilen/Konto;Buchungszeilen/Kostenrechnung;Buchungszeilen/Soll;Buchungszeilen/Haben
Miscellaneous Operations;Nummer TEST;Referenz TEST;35500;;0;17483.12
;;;36000;;0;49218.71
;;;36200;;0;100098.99
;;;60000;"{""1"": 100.0}";2200;0
;;;60001;"{""1"": 100.0}";2200;0
;;;62000;"{""1"": 100.0}";12336.41;0
;;;62001;"{""1"": 100.0}";12332.21;0
;;;62100;"{""1"": 100.0}";385.95;0
;;;65000;"{""1"": 100.0}";6106.9;0
;;;66000;"{""1"": 100.0}";450.66;0
;;;66700;"{""1"": 100.0}";100.14;0
;;;66800;"{""1"": 100.0}";1089.83;0
;;;66900;"{""1"": 100.0}";883.63;0
;;;60000;"{""2"": 100.0}";2285;0
;;;60001;"{""2"": 100.0}";2285;0
;;;62000;"{""2"": 100.0}";8489.52;0
;;;62001;"{""2"": 100.0}";7484.12;0
;;;62100;"{""2"": 100.0}";247.93;0
;;;65000;"{""2"": 100.0}";4146.1;0
;;;66000;"{""2"": 100.0}";303.52;0
;;;66700;"{""2"": 100.0}";67.95;0
;;;66800;"{""2"": 100.0}";739.43;0
;;;66900;"{""2"": 100.0}";623.78;0
;;;36000;"{""25"": 100.0}";200.11;0
;;;36200;"{""25"": 100.0}";0;960
;;;62000;"{""25"": 100.0}";17877.04;0
;;;62001;"{""25"": 100.0}";17877.04;0
;;;63000;"{""25"": 100.0}";6000;0
;;;65000;"{""25"": 100.0}";7689.47;0
;;;66000;"{""25"": 100.0}";567.29;0
;;;66700;"{""25"": 100.0}";121.56;0
;;;66800;"{""25"": 100.0}";1322.91;0
;;;66900;"{""25"": 100.0}";1281.42;0
;;;68040;"{""25"": 100.0}";960;0
;;;36000;"{""3"": 100.0}";12.4;0
;;;62000;"{""3"": 100.0}";7444.21;0
;;;62001;"{""3"": 100.0}";5600.55;0
;;;62100;"{""3"": 100.0}";78.51;0
;;;65000;"{""3"": 100.0}";2741.56;0
;;;66000;"{""3"": 100.0}";186.66;0
;;;66700;"{""3"": 100.0}";44.62;0
;;;66800;"{""3"": 100.0}";485.56;0
;;;66900;"{""3"": 100.0}";393.69;0
;;;60000;"{""4"": 100.0}";2120;0
;;;60001;"{""4"": 100.0}";2120;0
;;;62000;"{""4"": 100.0}";5530.34;0
;;;62001;"{""4"": 100.0}";5474.11;0
;;;62100;"{""4"": 100.0}";267.77;0
;;;65000;"{""4"": 100.0}";3216.5;0
;;;66000;"{""4"": 100.0}";237.33;0
;;;66700;"{""4"": 100.0}";52.75;0
;;;66800;"{""4"": 100.0}";573.96;0
;;;66900;"{""4"": 100.0}";465.36;0
;;;62000;"{""5"": 100.0}";4637.06;0
;;;62001;"{""5"": 100.0}";4623;0
;;;62100;"{""5"": 100.0}";66.94;0
;;;65000;"{""5"": 100.0}";1933.7;0
;;;66000;"{""5"": 100.0}";142.7;0
;;;66700;"{""5"": 100.0}";31.71;0
;;;66800;"{""5"": 100.0}";345.1;0
;;;66900;"{""5"": 100.0}";279.81;0
